epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,25058.1,0.55063,0.12687,0.08365,0.37239,0.95298,0.99296,0.9852,0.99476,0.90764,0.98894,0.9808,0.99441,0.99014,0.48212,0.08379,0.04373,0.27781,0.79324,0.0014852,0.0014852,0.0014852
28,26809.4,0.54924,0.12764,0.08083,0.3665,0.94662,0.99033,0.98969,0.99483,0.91717,0.99259,0.97925,0.99446,0.9905,0.45711,0.0857,0.04263,0.26962,0.78877,0.0014654,0.0014654,0.0014654
29,28689.7,0.53885,0.1257,0.08234,0.36334,0.94696,0.98674,0.98941,0.99473,0.91555,0.98335,0.98438,0.99423,0.9899,0.45077,0.0861,0.04587,0.27548,0.79064,0.0014456,0.0014456,0.0014456
30,29185.8,0.53368,0.12281,0.08289,0.35942,0.94629,0.99135,0.99063,0.99483,0.91453,0.98587,0.98504,0.99403,0.98975,0.4545,0.08705,0.04496,0.26872,0.7921,0.0014258,0.0014258,0.0014258
31,29675.6,0.52427,0.12068,0.07879,0.35536,0.94033,0.99133,0.98794,0.99482,0.87056,0.98858,0.98438,0.99455,0.99139,0.59335,0.0807,0.05031,0.29561,0.80993,0.001406,0.001406,0.001406
32,30173.3,0.52108,0.12082,0.07819,0.35022,0.94192,0.99338,0.98637,0.99487,0.90203,0.99093,0.98105,0.99444,0.99131,0.49889,0.07468,0.04354,0.27122,0.7972,0.0013862,0.0013862,0.0013862
33,30665.8,0.51245,0.11541,0.07677,0.35018,0.93812,0.99269,0.98703,0.99482,0.91168,0.98748,0.98238,0.99434,0.99112,0.4677,0.07971,0.0452,0.27638,0.78509,0.0013664,0.0013664,0.0013664
34,31154.2,0.51396,0.1097,0.07693,0.35076,0.93691,0.99214,0.99069,0.99487,0.92589,0.98831,0.98504,0.99453,0.9917,0.44152,0.07817,0.04083,0.26541,0.78355,0.0013466,0.0013466,0.0013466
35,31670.8,0.50215,0.10994,0.072,0.34126,0.92727,0.99068,0.98922,0.99485,0.91319,0.98668,0.9849,0.99452,0.99179,0.46824,0.07341,0.04473,0.26833,0.78104,0.0013268,0.0013268,0.0013268
36,32153.4,0.50343,0.11163,0.07681,0.34166,0.93481,0.9917,0.99287,0.99485,0.87965,0.98704,0.98771,0.9944,0.99128,0.5719,0.07531,0.04558,0.28723,0.81325,0.001307,0.001307,0.001307
